"Id"	"Parent"	"Type"	"Summary"	"Planned For"	"Status"	"Story Points (numeric)"	"Blocks"
"1021136"	"#1014596"	"Story"	"Feature 1014596: Support Channel Processor Dev (Part 2)"	"EA 15.3"	"New"	"1"	""
"1021135"	"#1014596"	"Story"	"Feature 1014596: Support Channel Processor Dev (Part 1)"	"EA 15.2"	"Implementing"	"1"	""
"1021125"	""	"Problem"	"No IETM procedure to backup ACU"	"Future"	"Triage"	""	""
"1021122"	""	"Feature"	"Identify and communicate top issues (recurring) - PI 16"	"PI 16"	"Draft"	""	""
"1021044"	""	"Feature"	"Lab - Polatis 6000 Switch Updates (IA, Power Supply) Integrate, Test, and Release"	"PI 16"	"Draft"	""	""
"1021037"	"#245568"	"Feature"	"Resolve interior routing issues resulting in routing of packets to incorrect interfaces, and HLR time sync faults."	"PI 16"	"Draft"	""	""
"1021028"	"#1020797"	"Story"	"Regression testing to ensure SMDC customer dashboards still work with our changes before we deploy"	"EA 16.5"	"New"	"2"	""
"1021011"	"#1020011"	"Story"	"Patch Gen 2 ETT Laptops in the Depot"	"PI 16"	"New"	"2"	"#1020993"
"1020992"	"#1019781"	"Story"	"Feature 1019781: Upgrade Gen 2 ETT Laptops"	"PI 16"	"New"	"2"	"#1020993"
"1020967"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - Carl  (16.1)"	"EA 16.1"	"New"	"1"	""
"1020966"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom OR Glen (16.1)"	"EA 16.1"	"New"	"2"	""
"1020965"	"#1020849"	"Story"	"Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (16.1)"	"EA 16.1"	"New"	"2"	""
"1020964"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS / RNC Network debug, recovery and repair - Reynolds(16.1)"	"EA 16.1"	"New"	"1"	""
"1020963"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Mark C (16.1)"	"EA 16.1"	"New"	"2"	""
"1020962"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (16.1)"	"EA 16.1"	"New"	"3"	""
"1020961"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain OTA Call Banks - SME Support - Loretta (16.1)"	"EA 16.1"	"New"	"1"	""
"1020960"	"#1020849"	"Story"	"Lab - Maintain OTA Call Banks - Carl (16.1)"	"EA 16.1"	"New"	"3"	""
"1020959"	"#1020849"	"Story"	"Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (16.1)"	"EA 16.1"	"New"	"2"	""
"1020958"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (16.1)"	"EA 16.1"	"New"	"5"	""
"1020957"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (16.1)"	"EA 16.1"	"New"	"5"	""
"1020956"	"#1020849"	"Story"	"Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (16.1)"	"EA 16.1"	"New"	"2"	""
"1020955"	"#1020849"	"Story"	"Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (16.1)"	"EA 16.1"	"New"	"2"	""
"1020954"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS/RNC Health Checks (16.1)"	"EA 16.1"	"New"	"1"	""
"1020953"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (16.1)"	"EA 16.1"	"New"	"1"	""
"1020952"	"#1020849"	"Story"	"Lab - Maintain Labs - PRC 155 repairs and status - Tim (16.1)"	"EA 16.1"	"New"	"1"	""
"1020951"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - McCord (16.2)"	"EA 16.2"	"New"	"1"	""
"1020950"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS SME Support - Colin (16.1)"	"EA 16.1"	"New"	"1"	""
"1020949"	"#1020849"	"Story"	"Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (16.1)"	"EA 16.1"	"New"	"5"	""
"1020948"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (16.1)"	"EA 16.1"	"New"	"5"	""
"1020947"	"#1020849"	"Story"	"Lab - Maintain Labs - Core Network debug, recovery and repair - Dave (16.1)"	"EA 16.1"	"New"	"1"	""
"1020946"	"#1020849"	"Story"	"Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (16.2)"	"EA 16.2"	"New"	"2"	""
"1020945"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS / RNC Network debug, recovery and repair - Reynolds(16.2)"	"EA 16.2"	"New"	"1"	""
"1020944"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Mark C  (16.2)"	"EA 16.2"	"New"	"2"	""
"1020943"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (16.2)"	"EA 16.2"	"New"	"3"	""
"1020942"	"#1020849"	"Story"	"Lab - Maintain OTA Call Banks - Carl (16.2)"	"EA 16.2"	"New"	"3"	""
"1020941"	"#1020849"	"Story"	"Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (16.2)"	"EA 16.2"	"New"	"2"	""
"1020940"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (16.2)"	"EA 16.2"	"New"	"8"	""
"1020939"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (16.2)"	"EA 16.2"	"New"	"5"	""
"1020938"	"#1020849"	"Story"	"Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (16.2)"	"EA 16.2"	"New"	"2"	""
"1020937"	"#1020849"	"Story"	"Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (16.2)"	"EA 16.2"	"New"	"2"	""
"1020936"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS/RNC Health Checks (16.2)"	"EA 16.2"	"New"	"1"	""
"1020935"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (16.2)"	"EA 16.2"	"New"	"1"	""
"1020934"	"#1020849"	"Story"	"Lab - Maintain Labs - PRC 155 repairs and status - Tim (16.2)"	"EA 16.2"	"New"	"1"	""
"1020933"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - McCord (16.3)"	"EA 16.3"	"New"	"1"	""
"1020932"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS SME Support - McCord (Tape) (16.2)"	"EA 16.2"	"New"	"1"	""
"1020931"	"#1020849"	"Story"	"Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (16.2)"	"EA 16.2"	"New"	"5"	""
"1020930"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (16.2)"	"EA 16.2"	"New"	"5"	""
"1020929"	"#1020849"	"Story"	"Lab - Maintain Labs - Core Network debug, recovery and repair - Dave (16.2)"	"EA 16.2"	"New"	"1"	""
"1020928"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (16.3)"	"EA 16.3"	"New"	"3"	""
"1020927"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom OR Glen (16.3)"	"EA 16.3"	"New"	"2"	""
"1020926"	"#1020849"	"Story"	"Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (16.3)"	"EA 16.3"	"New"	"2"	""
"1020925"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS / RNC Network debug, recovery and repair - Reynolds(16.3)"	"EA 16.3"	"New"	"1"	""
"1020924"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Mark C  (16.3)"	"EA 16.3"	"New"	"2"	""
"1020923"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (16.3)"	"EA 16.3"	"New"	"3"	""
"1020922"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain OTA Call Banks - SME Support - Loretta (16.3)"	"EA 16.3"	"New"	"1"	""
"1020921"	"#1020849"	"Story"	"Lab - Maintain OTA Call Banks - Carl (16.3)"	"EA 16.3"	"New"	"3"	""
"1020920"	"#1020849"	"Story"	"Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (16.3)"	"EA 16.3"	"New"	"2"	""
"1020919"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (16.3)"	"EA 16.3"	"New"	"5"	""
"1020918"	"#1020849"	"Story"	"Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (16.3)"	"EA 16.3"	"New"	"2"	""
"1020917"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom OR Glen (16.2)"	"EA 16.2"	"New"	"2"	""
"1020916"	"#1020849"	"Story"	"Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (16.3)"	"EA 16.3"	"New"	"2"	""
"1020915"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS/RNC Health Checks (16.3)"	"EA 16.3"	"New"	"1"	""
"1020914"	"#1020849"	"Story"	"Lab - Maintain Labs - PRC 155 repairs and status - Tim (16.3)"	"EA 16.3"	"New"	"1"	""
"1020913"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - McCord (16.4)"	"EA 16.4"	"New"	"1"	""
"1020912"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS SME Support - McCord (tape) (16.3)"	"EA 16.3"	"New"	"1"	""
"1020911"	"#1020849"	"Story"	"Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (16.3)"	"EA 16.3"	"New"	"5"	""
"1020910"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (16.3)"	"EA 16.3"	"New"	"5"	""
"1020909"	"#1020849"	"Story"	"Lab - Maintain Labs - Core Network debug, recovery and repair - Dave (16.3)"	"EA 16.3"	"New"	"1"	""
"1020908"	"#1020849"	"Story"	"Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (16.4)"	"EA 16.4"	"New"	"2"	""
"1020907"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS / RNC Network debug, recovery and repair - Reynolds(16.4)"	"EA 16.4"	"New"	"1"	""
"1020906"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Mark C  (16.4)"	"EA 16.4"	"New"	"2"	""
"1020905"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (16.4)"	"EA 16.4"	"New"	"3"	""
"1020904"	"#1020849"	"Story"	"Lab - Maintain OTA Call Banks - Carl (16.4)"	"EA 16.4"	"New"	"3"	""
"1020903"	"#1020849"	"Story"	"Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (16.4)"	"EA 16.4"	"New"	"2"	""
"1020902"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (16.4)"	"EA 16.4"	"New"	"5"	""
"1020901"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (16.4)"	"EA 16.4"	"New"	"3"	""
"1020900"	"#1020849"	"Story"	"Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (16.4)"	"EA 16.4"	"New"	"2"	""
"1020899"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom OR Glen  (16.4)"	"EA 16.4"	"New"	"2"	""
"1020898"	"#1020849"	"Story"	"Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (16.4)"	"EA 16.4"	"New"	"2"	""
"1020897"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS/RNC Health Checks (16.4)"	"EA 16.4"	"New"	"1"	""
"1020896"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (16.4)"	"EA 16.4"	"New"	"1"	""
"1020895"	"#1020849"	"Story"	"Lab - Maintain Labs - PRC 155 repairs and status - Tim (16.4)"	"EA 16.4"	"New"	"1"	""
"1020894"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - McCord (16.5)"	"EA 16.5"	"New"	"1"	""
"1020893"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS SME Support - Colin (16.4)"	"EA 16.4"	"New"	"1"	""
"1020892"	"#1020849"	"Story"	"Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (16.4)"	"EA 16.4"	"New"	"5"	""
"1020891"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (16.4)"	"EA 16.4"	"New"	"5"	""
"1020890"	"#1020849"	"Story"	"Lab - Maintain Labs - Core Network debug, recovery and repair - Dave (16.4)"	"EA 16.4"	"New"	"1"	""
"1020889"	"#1020849"	"Story"	"Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (16.5)"	"EA 16.5"	"New"	"2"	""
"1020888"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS / RNC Network debug, recovery and repair - Reynolds(16.5)"	"EA 16.5"	"New"	"1"	""
"1020887"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Mark C  (16.5)"	"EA 16.5"	"New"	"2"	""
"1020886"	"#1020849"	"Story"	"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (16.5)"	"EA 16.5"	"New"	"3"	""
"1020885"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain OTA Call Banks - SME Support - Loretta (16.5)"	"EA 16.5"	"New"	"1"	""
"1020884"	"#1020849"	"Story"	"Lab - Maintain OTA Call Banks - Carl (16.5)"	"EA 16.5"	"New"	"3"	""
"1020883"	"#1020849"	"Story"	"Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (16.5)"	"EA 16.5"	"New"	"1"	""
"1020882"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (16.5)"	"EA 16.5"	"New"	"5"	""
"1020881"	"#1020849"	"Story"	"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (16.5)"	"EA 16.5"	"New"	"3"	""
"1020880"	"#1020849"	"Story"	"Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (16.5)"	"EA 16.5"	"New"	"2"	""
"1020879"	"#1020849"	"Story"	"Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (16.5)"	"EA 16.5"	"New"	"2"	""
"1020878"	"#1020849"	"Story"	"Lab - Maintain Labs - RBS/RNC Health Checks (16.5)"	"EA 16.5"	"New"	"1"	""
"1020877"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (16.5)"	"EA 16.5"	"New"	"1"	""
"1020876"	"#1020849"	"Story"	"Lab - Maintain Labs - PRC 155 repairs and status - Tim (16.5)"	"EA 16.5"	"New"	"1"	""
"1020875"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - McCord (16.1)"	"EA 16.1"	"New"	"1"	""
"1020874"	"#1020849"	"Story"	"Lab - Maintain Labs - NMS SME Support - Colin (16.5)"	"EA 16.5"	"New"	"1"	""
"1020873"	"#1020849"	"Story"	"Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (16.5)"	"EA 16.5"	"New"	"5"	""
"1020872"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - Lab Floor Plan Updates (PI-16)"	"EA 16.5"	"New"	"2"	""
"1020871"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (16.5)"	"EA 16.5"	"New"	"5"	""
"1020870"	"#1020849"	"Story"	"Lab - Maintain Labs - Core Network debug, recovery and repair - Dave (16.5)"	"EA 16.5"	"New"	"1"	""
"1020869"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, and custodian tasks - Tim (16.1)"	"EA 16.1"	"New"	"1"	""
"1020868"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, and custodian tasks - Tim (16.2)"	"EA 16.2"	"New"	"1"	""
"1020867"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, and custodian tasks - Tim (16.3)"	"EA 16.3"	"New"	"1"	""
"1020866"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, and custodian tasks - Tim (16.4)"	"EA 16.4"	"New"	"1"	""
"1020865"	"#1020849"	"Story"	"Lab - Maintain Labs - Facility Management, and custodian tasks - Tim (16.5)"	"EA 16.5"	"New"	"1"	""
"1020864"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (16.3)"	"EA 16.3"	"New"	"1"	""
"1020863"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain OTA Call Banks - SME Support - Loretta (16.2)"	"EA 16.2"	"New"	"1"	""
"1020862"	"#1020849"	"Story"	"Feature 1013534: Lab - Maintain OTA Call Banks - SME Support - Loretta (16.4)"	"EA 16.4"	"New"	"1"	""
"1020861"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Rich (16.1)"	"EA 16.1"	"New"	"5"	""
"1020860"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Rich (16.2)"	"EA 16.2"	"New"	"5"	""
"1020859"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Rich (16.3)"	"EA 16.3"	"New"	"5"	""
"1020858"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Rich (16.4)"	"EA 16.4"	"New"	"5"	""
"1020857"	"#1020849"	"Story"	"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Rich (16.5)"	"EA 16.5"	"New"	"5"	""
"1020856"	"#1020849"	"Story"	"Lab - Maintain Labs - DSN GW SME Support - Glen L. (16.1)"	"EA 16.1"	"New"	"1"	""
"1020855"	"#1020849"	"Story"	"Lab - Debug SWIT RNC06/Corben and Core network configurations"	"EA 16.2"	"New"	"5"	""
"1020849"	""	"Feature"	"Lab - Maintain Labs for Integration, Testing and Test Events with minimal down time (PI-16)"	"PI 16"	"Draft"	""	""
"1020847"	"#1015153"	"Story"	"Feature 1015153:Help support rebooting a Linux server in support of verifying boot images are working in the target system"	"EA 15.3"	"New"	"1"	""
"1020842"	"#1020797"	"Story"	"Release Regression - NMS Automation daily runs  (xx.1)"	"EA 16.1"	"New"	"5"	""
"1020841"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.1)"	"EA 16.1"	"New"	"5"	""
"1020840"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.1)"	"EA 16.1"	"New"	"5"	""
"1020839"	"#1020797"	"Story"	"Release Regression - Lab SW Versioning via NodeConfig (xx.1)"	"EA 16.1"	"New"	"1"	""
"1020838"	"#1020797"	"Story"	"Release Regression - EAD15 Regression Test Selection (xx.1)"	"EA 16.1"	"New"	"2"	""
"1020837"	"#1020797"	"Story"	"Release Regression - Call Automation (16.1)"	"EA 16.1"	"New"	"1"	""
"1020836"	"#1020797"	"Story"	"Auto - RFR Regression - Test script bug fixes and maintenance (xx.1)"	"EA 16.1"	"New"	"1"	""
"1020835"	"#1020797"	"Story"	"Release Regression - NMS Automation daily runs  (xx.2)"	"EA 16.2"	"New"	"5"	""
"1020834"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.2)"	"EA 16.2"	"New"	"5"	""
"1020833"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.2)"	"EA 16.2"	"New"	"5"	""
"1020832"	"#1020797"	"Story"	"Release Regression - Lab SW Versioning via NodeConfig (xx.2)"	"EA 16.2"	"New"	"1"	""
"1020831"	"#1020797"	"Story"	"Release Regression - Call Automation (16.2)"	"EA 16.2"	"New"	"1"	""
"1020830"	"#1020797"	"Story"	"Auto - RFR Regression - Test script bug fixes and maintenance (xx.2)"	"EA 16.2"	"New"	"1"	""
"1020829"	"#1020797"	"Story"	"Release Regression - NMS Automation daily runs  (xx.3)"	"EA 16.3"	"New"	"5"	""
"1020828"	"#1020797"	"Story"	"Release Regression - NMS Automation daily runs (xx.3)"	"EA 16.3"	"New"	"5"	""
"1020827"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.3)"	"EA 16.3"	"New"	"5"	""
"1020826"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.3)"	"EA 16.3"	"New"	"5"	""
"1020825"	"#1020797"	"Story"	"Release Regression - Lab SW Versioning via NodeConfig (xx.3)"	"EA 16.3"	"New"	"1"	""
"1020824"	"#1020797"	"Story"	"Release Regression - Call Automation (xx.3)"	"EA 16.3"	"New"	"1"	""
"1020823"	"#1020797"	"Story"	"Auto - RFR Regression - Test script bug fixes and maintenance (xx.3)"	"EA 16.3"	"New"	"1"	""
"1020822"	"#1020797"	"Story"	"Release Regression - NMS Automation daily runs  (xx.4)"	"EA 16.4"	"New"	"5"	""
"1020821"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.4)"	"EA 16.4"	"New"	"3"	""
"1020820"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.4)"	"EA 16.4"	"New"	"5"	""
"1020819"	"#1020797"	"Story"	"Release Regression - Lab SW Versioning via NodeConfig (xx.4)"	"EA 16.4"	"New"	"1"	""
"1020818"	"#1020797"	"Story"	"Release Regression - Call Automation (xx.4)"	"EA 16.4"	"New"	"1"	""
"1020817"	"#1020797"	"Story"	"Auto - RFR Regression - Test script bug fixes and maintenance (xx.4)"	"EA 16.4"	"New"	"1"	""
"1020816"	"#1020797"	"Story"	"Release Regression - NMS Automation  daily runs  (xx.5)"	"EA 16.5"	"New"	"1"	""
"1020815"	"#1020797"	"Story"	"Release Regression - Manual Regression Test Run/Automate (xx.5)"	"EA 16.5"	"New"	"1"	""
