"Id"	"Parent"	"Type"	"Summary"	"Planned For"	"Status"	"Story Points (numeric)"	"Blocks"
"1021819"	"#1021044"	"Story"	"Feature Demo  Customer Demo Event - Lab - Polatis Switch Update - Prep and Hold Feature Demo"	"EA 16.4"	"New"	"5"	""
"1021818"	"#1021044"	"Story"	"Feature Demo  Customer Demo Event - Lab - Polatis Switch Update - Prep and Hold Feature Demo"	"EA 16.4"	"New"	"5"	""
"1021817"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Update to the IETM for Polatis"	"EA 16.3"	"New"	"1"	""
"1021816"	"#1021044"	"Story"	"Lab - Polatis Switch Update - MFR 3  CSE Completes Final CAP (Change back to Cyber Security Engineering)"	"EA 16.3"	"New"	"3"	""
"1021815"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Perform lab integration and test (Tom)"	"EA 16.3"	"New"	"5"	""
"1021814"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Run the SVD in the Lab (Tom)"	"EA 16.3"	"New"	"1"	""
"1021813"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Run the SVD in the Lab (Glen)"	"EA 16.3"	"New"	"1"	""
"1021812"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Create Deployment Notes, Operator Impact Inputs, and provide input on training"	"EA 16.3"	"New"	"1"	""
"1021811"	"#1021044"	"Story"	"Lab - Polatis Switch Update - SVD updates for Power supply replacement procedure"	"EA 16.3"	"New"	"2"	""
"1021810"	"#1021044"	"Story"	"Lab - Polatis Switch Update - SVD Updates and  site test/check"	"EA 16.3"	"New"	"2"	""
"1021809"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Add power supply alarms to whitelist"	"EA 16.2"	"New"	"3"	""
"1021808"	"#1021044"	"Story"	"Feature 1021044: Polatis Switch Update - Provide inputs for SVD Updates"	"EA 16.2"	"New"	"2"	""
"1021807"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Management Interface support (if needed)"	"EA 16.2"	"New"	"2"	""
"1021806"	"#1021044"	"Story"	"Lab - Polatis Switch Update - MFR 3  CSE Completes initial CAP (Change back to Cyber Security Engineering) - Part 2"	"EA 16.2"	"New"	"2"	""
"1021805"	"#1021044"	"Story"	"Feature 366348: Polatis Switch Update - Add to PDM Link and Update Cabinet Drawing"	"EA 16.2"	"New"	"1"	""
"1021804"	"#1021044"	"Story"	"Feature 366348: Polatis Switch Update - Create SCD drawing"	"EA 16.2"	"New"	"1"	""
"1021803"	"#1021044"	"Story"	"Feature 366348: Polatis Switch Update - Create Coco Review for Parts Lists and Drawings"	"EA 16.2"	"New"	"1"	""
"1021802"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Perform lab integration and test (Tom)"	"EA 16.2"	"New"	"5"	""
"1021801"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Create/Update Polatis Switch IETM Documentation (redlines to ILS)"	"EA 16.2"	"New"	"3"	""
"1021800"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Create and Test Functional Site Test (Glen)"	"EA 16.2"	"New"	"2"	""
"1021799"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Perform lab integration and test (Glen)"	"EA 16.2"	"New"	"2"	""
"1021798"	"#1021044"	"Story"	"Lab - Polatis Switch Update - IA Posture Assessment"	"EA 16.1"	"New"	"2"	""
"1021797"	"#1021044"	"Story"	"Feature 1021044:  Lab - Polatis Switch Update - Complete Review of the PDM Link"	"EA 16.1"	"New"	"1"	""
"1021796"	"#1021044"	"Story"	"Feature 1021044: Polatis Switch Update - Alternate Parts List due to software upgrade?"	"EA 16.1"	"New"	"1"	""
"1021795"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Load new s/w on lab swithch"	"EA 16.1"	"New"	"3"	""
"1021794"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Procure s/w from Polatis, check with CM"	"EA 16.1"	"New"	"1"	""
"1021793"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Create STCD and review with stakeholders"	"EA 16.1"	"New"	"2"	""
"1021792"	"#1021044"	"Story"	"Lab - Polatis Switch Update - Document Initial capability specification and  detailed design to start implementation"	"EA 16.1"	"New"	"3"	""
"1021791"	"#380808"	"Task"	"Feature 380808: Submit PDO for 63-P53199T - ILS - Functional Block Diagram MUOS Ground System"	"PI 16"	"New"	""	""
"1021788"	"#380808"	"Task"	"Feature 380808: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1021787"	"#380808"	"Task"	"Feature 380808: Submit PDO for 98-P59414M – NMS – NM – Security – GSKey – SVD (GSKM)"	"PI 16"	"New"	""	""
"1021786"	"#380808"	"Task"	"Feature 380808: Submit PDO for 98-P54188T - NMS -NM - Security -AAA - SVD"	"PI 16"	"New"	""	""
"1021785"	"#380808"	"Task"	"Feature 380808: Submit PDO for 98-P55755M - Firewall - Network - SVD"	"PI 16"	"New"	""	""
"1021784"	"#380808"	"Task"	"Feature 380808: Submit PDO for 98-P54191T - NMS - NM - FCAP - FaultMgmt - SVD"	"PI 16"	"New"	""	""
"1021783"	"#380808"	"Task"	"Feature 380808: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1021782"	"#1021499"	"Story"	"Feature 1021499: Create VA to reapply fix for Problem 1021441 (MPC EAD TBD) in EAD 16"	"EA 16.1"	"New"	"2"	""
"1021781"	"#1021499"	"Story"	"Feature 1021499: Re-apply changes in EAD 16 for Problem 1021441 (MPC EAD TBD)"	"EA 16.1"	"New"	"2"	""
"1021780"	"#380808"	"Task"	"Feature 380808: Submit PDO for 99-P53198T – NMS – NM – NEDB"	"PI 16"	"New"	""	""
"1021779"	"#342054"	"Task"	"Feature 342054: Submit PDO for 98-P59856M - Network - ExtremeSwitch - SVD"	"PI 16"	"New"	""	""
"1021778"	"#342054"	"Task"	"Feature 342054: Submit PDO for 98-P59414M – NMS – NM – Security – GSKey – SVD (GSKM)"	"PI 16"	"New"	""	""
"1021777"	"#342054"	"Task"	"Feature 342054: Submit PDO for 99-P57050M - NMS - NM Common PKI"	"PI 16"	"New"	""	""
"1021767"	"#342054"	"Task"	"Feature 342054: Submit PDO for 98-P59428M - NMS - NM - Security - SIEM - SVD"	"PI 16"	"New"	""	""
"1021748"	"#272399"	"Task"	"Feature 272399: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1021747"	"#272399"	"Task"	"Feature 272399: Submit PDO for 98-P59422M – NMS – NM – SecretAppServer – SVD"	"PI 16"	"New"	""	""
"1021741"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - Integration and Test Network - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"3"	""
"1021740"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - Integration and Test Network - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"3"	""
"1021735"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - Lab Support Workstations - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"3"	""
"1021731"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - RF Fiber Transceiver - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"3"	""
"1021730"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - IULAN - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"5"	""
"1021728"	"#1015153"	"Story"	"Feature 1015153: Verify that a disc burned by the Okapi team is bootable (Load Balancer is the target hardware)"	"EA 15.3"	"Ready for Acceptance"	"1"	""
"1021726"	"#1020849"	"Story"	"Lab - Maintain Labs - OBS - WILMA - Initial Discovery and DMSMS"	"EA 16.5"	"New"	"5"	""
"1021719"	""	"Problem"	"ePO Established Large Number of unneeded connections to DB starving other processes of resources."	"Unassigned"	"Triage"	""	""
"1021704"	"#383958"	"Story"	"Feature 383958: Complete Unit Tests for Bulk SAR PPA Implementation, Integration, development Testing  - part 4R"	"EA 15.3"	"Implementing"	"2"	""
"1021685"	"#1013234"	"Story"	"Feature 1013234: Complete proof of concept library using JDBC for DB communication alternative to hibernate"	"EA 15.3"	"Implementing"	"2"	""
"1021677"	""	"Problem"	"RNC trace logs displaying different IMSIs within the same call flow sequence using the same UE ID"	"Unassigned"	"Triage"	""	""
"1021661"	"#1020011"	"Task"	"Submit PDO for 98-P55616M – IA - SVD"	"EA 16.1"	"New"	""	""
"1021634"	""	"Task"	"Michael will be OOP (PTO) 11-15 May."	"EA 15.3"	"New"	""	""
"1021628"	"#1021626"	"Story"	"Canada FMS: PI 17 Deliverables placeholder"	"PI 17"	"Invalid"	"0"	""
