,BlockerId,BlockedId
0,1009453,1017077
1,1006843,1007167
2,385428,385429
3,385422,385428
4,385422,385431
5,385422,385430
6,384136,1007900
7,384036,380808
8,381606,381659
9,381603,381627
10,368169,369536
11,342054,1013259
12,328729,311386
13,327793,327823
14,313740,310609
15,313740,310578
16,313740,310299
17,313740,310443
18,313740,309972
19,313740,310532
20,310297,310018
21,310297,313740
22,310018,310295
23,293371,293375
24,292429,270631
25,290618,290622
26,288136,291060
27,283333,293238
28,274035,273909
29,273932,273909
30,262648,262662
31,259557,232525

,Team,FeatureId,Summary
4713,Labradors,366093,Lab - TXO Ericsson - Create and update MEDIUM priority board test procedures for testing Ericsson parts
4712,Labradors,366094,Lab - TXO Ericsson - Create and update LOW priority board test procedures for testing Ericsson parts
4668,Labradors,368169,Lab - TXO Ericsson - Site Support - Build New TSP Kickstart server for D-Level support
4618,Labradors,369536,Lab - TXO Ericsson - Site Support - Release for site TSP Kickstart server
4436,Labradors,379221,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Part A
4280,Labradors,382895,TD19-10: PI 13/14 Support of ADI/EMI/PRISM Integration
3386,Labradors,396819,"Lab - Maintain Labs for Integration, Testing and Test Events with minimal down time  (PI-14)"
2053,Labradors,1008620,Lab – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Part B
1366,Labradors,1013534,"Lab - Maintain Labs for Integration, Testing and Test Events with minimal down time  (PI-15)"
1210,Labradors,1013750,"Lab - SWIT Revitalize - Assessment, inventory, drawings, plan RAN and SWIT"
1178,Labradors,1013795,"Lab - Make V-Lab more like site - Research, Identify, Document Diffs: RAF:(RAN, CORE, ETI) and SF"
999,Labradors,1014387,TO 6: PI 15 Support of ADI/EMI/PRISM Integration
212,Labradors,1017680,"ET SVD MPC Rebases - Dehydrator, FEP, ACU"
6537,MUOS,316161,IETM Feature <xxx>
5126,MUOS,352979,<Feature xxx> HW/FRCB Template
4751,MUOS,363874,MPC for Problem xxx found in EAD 11 Deliveries
4746,MUOS,363879,MPC for Problem xxx found in EAD 12 Deliveries
4287,MUOS,382879,<Feature xxx> MFR1 Template
4242,MUOS,383908,<Feature xxx> MFR3 Template
3579,MUOS,395538,<Feature xxx> MFR2 Template
7629,Magic,216607,Secret NMF - HAIPE201 Single Point Failure (Enabler)
7439,Magic,238135,AMS-GS Phase 2: FCAPs Good Citizenship Part 1
7303,Magic,257560,TD 19-10 Finalize AWARE Design Documentation
7301,Magic,258337,AMS-GS Phase 2: Implement/test AMS-GS Alarm Distribution
7195,Magic,265531,AMS-GS Phase 2: FCAPs Good Citizenship Part 2
7000,Magic,278546,AMS-GS: Status Page with Firefox
6954,Magic,280549,Add/update IETM alarm recovery procedures for CORE/GIS alarms [O-Level - Needs Updates]
6906,Magic,290493,AMS-GS UFO Frequency management
6905,Magic,290605,AMS-GS Phase 2: Integrate NMS software to the AMS-GS servers - Part 3
6893,Magic,290618,Investigate NMF-AMS-GS RAF Component Connectivity
6892,Magic,290622,Implement NMF-AMS-GS RAF Component Connectivity
6880,Magic,290711,TD 19-10: Deploy AWARE-NMF Connectivity Changes to WH
6845,Magic,291671,AMS-GS Correlate Geolocation outage history
6741,Magic,295271,Investigate AMS-GS Backup/Restore of 90+ day data
6736,Magic,295963,AMS-GS: Investigate UI/DB Authentication Re-Design
6662,Magic,309972,Unclass GDS:  HW/FRCB Deployable Feature
6643,Magic,310299,Unclass GDS: Load Balancer Development
6633,Magic,310443,Unclass GDS - TACLANE
6625,Magic,310532,Unclass GDS Server
6616,Magic,310578,Unclass GDS: Firewall/Switches/Routers
6605,Magic,310609,Unclass GDS: NMS
6594,Magic,310626,Unclass GDS: GDS Application (Taunton)
6359,Magic,321296,Investigate Impact of Geo Migrating from RedHat 6.8 to RedHat 7
6336,Magic,321769,Investigate MUOS 503 constellation changes and any UHF/legacy payload impacts to AMS-GS
6147,Magic,327080,AMS-GS - Investigate Solutions to Improve GD's lab to Better Match Zeta's lab.
5921,Magic,330195,Relocation: ET and ETISP activities (M501)
5919,Magic,330324,Enhance AMS-GS ARSTRAT Training Package
5918,Magic,330332,"Update AMS-GS documentation to use ""MUOS Geolocation"" instead"
5917,Magic,330447,Relocation: ET and ETISP activities (M502)
5885,Magic,332289,Transition AMS-GS NMF and RAF Power-Up/Power Down to O-Level
5868,Magic,332640,Review and Incorporate Depot Geolocation Trouble Shooting Steps into I-Level procedures
5714,Magic,338744,Automate OTA Call Bank Log and Data Collection
5666,Magic,342018,TD19-10: Prepare Docs for Connected AWARE Sicily FRCB (to support deployment post MOT&E)
5664,Magic,342054,Complete development of Sicily Connected AWARE
5661,Magic,342163,Site Redlines for TACLANE Obsolescence (Identified during EAD 11 deployment)
5306,Magic,351542,Update NetMac configuration to support 15 devices simultaneously
5012,Magic,355947,Feature 355947: Upgrade GEM One to Latest Version
4691,Magic,367689,Remove Need for Web GUI with Console Servers
4676,Magic,367790,MPC for Problem 347605 found in EAD 12 Deliveries
4482,Magic,376446,Update Call Bank Servers to Use Connected AWARE Architecture to support IATT
4454,Magic,378000,TD 19-10: Finalize AWARE for SC and Update from WH Lessons Learned
4451,Magic,378031,Investigate Reduction in Non-Standard AWARE Test Scenario Execution Time
4068,Magic,385856,TD 20-04 MUOS Conversion to Advanced Cryptographic Capability (ACC)
4048,Magic,386935,"MUOS Geolocation Support, Maintenance  Zeta EAD 16"
3681,Magic,393432,Automate bi-monthly manual task : Automate AMS-GS Security Log Collection
3504,Magic,396002,PI 14 Technical Support (Recurring)
2979,Magic,1002345,OBS - HLR: Upgrade HP HLR/AuC HW & SW
2963,Magic,1002381,OBS - HLR: HW/FRCB for HLR Deployment
2953,Magic,1002425,OBS - HLR: Coordinate and Support Deployment of HLR at WH
2952,Magic,1002428,OBS - HLR: Coordinate and Support Deployment of HLR at NW
2950,Magic,1002486,OBS - HLR: Complete and Release ILS Documentation for HLR Solution
2949,Magic,1002491,OBS - HLR: Complete and Release As-Built documentation for HLR Solution
1457,Magic,1013259,PI 17 Deployment On-site Support (Recurring)
1405,Magic,1013452,"MUOS Geolocation Support, Maintenance  Zeta EAD 18 (includes Ephemeris to SIPRNet)"
7437,Octopi,239140,Assess ILS Lifetime Buys
5316,Octopi,351450,RGR Cabinet Update
4444,Octopi,378964,Octopi PTO Holder
4052,Octopi,386846,OBS - HW: Complete and Release ILS Documentation for BAR Solution
3657,Octopi,395114,PI 15 HW FRB Support (CDRL A008)  (Recurring)
3636,Octopi,395174,PI 14 HW FRB Support (Recurring)
3532,Octopi,395855,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring)
3462,Octopi,396248,PI 14 Maintain CRM Database (Recurring)
3388,Octopi,396770,Warranty Performance Report (CDRL A005)
3385,Octopi,396835,Government Property Inventory Report (CDRL A006)
2697,Octopi,1005321,Systemic Configuration (CDRL A015)
2685,Octopi,1005343,DMSMS Tracker Submittal (CDRL A007))
2674,Octopi,1005403,AU Preventive Maintenance Planning Activity for 2020
1957,Octopi,1010421,PI 15 Supply Support Tracking (Recurring)
1766,Octopi,1011279,Depot: Laptop Efforts for EAD 15
1765,Octopi,1011295,PI 15 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring)
1755,Octopi,1011329,PI 16 DMSMS Support (Recurring)
1739,Octopi,1011394,PI 15 DMSMS Support (Recurring)
1736,Octopi,1011419,PI 15 Maintain CRM Database (Recurring)
1730,Octopi,1011441,Annual Level of Repair Assessment (LORA): Review & Update the LORA Created and Delivered in 2019 (CDRL A010)
1617,Octopi,1012540,Spares Plan (CDRL A004)
1605,Octopi,1012570,SC Preventive Maintenance Activity for 2020
1596,Octopi,1012588,WH Preventive Maintenance Activity for 2020
1536,Octopi,1012847,Reliability & Maintainability (R&M) Block Diagrams & Mathematical Models Report (CDRL A009)
7352,Okapi,247172,Obsolescence: Backup Archive (TSM)  Proposal
7145,Okapi,270631,HBSS Integration with Fault Management and SIEM
6925,Okapi,288210,Feature 288210: Backfill Raid Server in Pre-SWIT
6718,Okapi,300924,Feature 300924 HBSS Fault Management Ping Probing
6490,Okapi,318380,Windows 10 Laptop for AJM/MTC 
6487,Okapi,318430,Windows 10 Laptop for ETT
6414,Okapi,320207,"User Access Control: IA Updates to AAA, GPO's, and Remove Domain Admins from Standard Users"
6376,Okapi,321019,Feature 321019 HBSS SVD Updates to clean up APS/ACCM/OAM/Policy Auditor Updates identified post Role-up to NCDOC
5402,Okapi,350268,"Feature 350268: HBSS modules update/addition system analysis (AVE, HIPS, Policy Auditor, RSD, and EPO)"
5365,Okapi,351050,"HBSS: Investigate/Generate the effort: ePO and Manage Hosts - Common, Compliant Low/High Sides Architecture"
5364,Okapi,351068,HBSS: Investigate/Generate findings: STIG compliance ePO - SQL DB
5363,Okapi,351070,"HBSS: Develop, Implement, and Deploy: STIG compliance ePO - SQL DB"
5348,Okapi,351086,HBSS: Investigate/Generate the effort: ePO - ArcSight Connector Module
5347,Okapi,351087,"HBSS: Develop, Implement, and Deploy: ePO - ArcSight Connector Moddule"
5332,Okapi,351105,HBSS: Investigate/Generate the effort: Managed Hosts - McAfee Application Control (MAC)  Module
5331,Okapi,351109,"HBSS: Develop, Implement, and Deploy: Identified/Applicable Mananged Hosts - MAC Module"
5280,Okapi,351942,"HBSS: Generate HIPS (IPS, Firewall)/VSE Analysis and Address Findings - HBSS Low Side - SF"
5265,Okapi,351959,"HBSS: Generate HIPS (IPS, Firewall)/VSE Analysis and Address Findings - HBSS Low Side - RAF"
5250,Okapi,351977,"HBSS: Generate HIPS (IPS, Firewall)/VSE Analysis and Address Findings - HBSS Low Side - NMF"
5235,Okapi,351997,"HBSS: Develop, Implement, and Deploy: New ePO and Managed Hosts - HBSS Low Side"
5214,Okapi,352189,"HBSS: Develop, Implement, and Deploy New ePO (5.9.x) - HBSS High Side"
4610,Okapi,369754,OBS - TPM: Design TPM Replacement for File Transfer
4548,Okapi,371881,MPC for Problem 371879 found in EAD 12 Deliveries
4464,Okapi,377437,Gen 2 ETT Laptop Obsolescence for Windows 10 and IA compliance
4396,Okapi,380808,"OBS - Complete Nutanix Release, IA refresh, and IETMs for Nutanix DX360 Solution "
4263,Okapi,383165,OBS - HW: Create Drawings and FRCB Package for Nutanix Deployment
4262,Okapi,383168,OBS - HW: FRCB for Site Power Changes for Nutanix Deployment
4212,Okapi,384036,OBS - HW: Integrate Nutanix HW/SW Design into VLab
4183,Okapi,384136,OBS - HBSS: Integrate and test production HBSS solution into VLab
4096,Okapi,385442,OBS - NET: Determine Network Architecture and Design of the MUOS Ground System and Develop an Execution Plan
3840,Okapi,390944,Automate the PKI deployment
2858,Okapi,1003863,Update Software_Installation_and_Configuration_Table.pdf to remove/correct references to XP
2847,Okapi,1004094,OBS:  Develop Common Design for use of Passwords and Credential Management
2744,Okapi,1004621,OBS - VM: Develop VM Staging and Deployment Automation Solution
2372,Okapi,1007536,OBS: Create a Development Concept/Architecture for 2 Factor Authentication
2270,Okapi,1007900,OBS - HBSS: Prepare HBSS for Deployment to Site
1644,Okapi,1012038,Nutanix Cleanup for EAD 18
805,Okapi,1015153,Fix disc images on MUOS to no longer require Roxio
757,Okapi,1015400,Feature 1015400 MFR1 Add Roxio to ILS Tools Laptop
7593,Roadrunners,218377,MAC Lock - Implement MAC Lock down in V-Lab
7589,Roadrunners,219158,Auto - Call - V-Lab Call Automation Analysis/Plan
7580,Roadrunners,219798,Factory Test Automation
7576,Roadrunners,220349,Enable real RSC in V-LAB
7574,Roadrunners,220529,Statistic Storage (Call Banks)
7539,Roadrunners,222606,Implement V-Lab Changes per Site-V-Lab agreement
7513,Roadrunners,232061,Auto - Automated VLAB password updates [SPIKE]
7512,Roadrunners,232063,Auto - Automate identified IETM procedures [SPIKE]
7510,Roadrunners,232080,Auto - Automated verification that SIEM is working [SPIKE]
7509,Roadrunners,232081,Auto - Update expired certificates on all equipment [SPIKE]
7508,Roadrunners,232082,Auto - Fault Management - Fault Correlation [SPIKE]
7469,Roadrunners,235191,Auto - Call - Upgrade E2E Server for Automation (ITLAB)
7328,Roadrunners,250363,Auto - Daily Delta Checks [SPIKE]
7326,Roadrunners,250941,Auto - Lab Software Tools Maintenance
7282,Roadrunners,261876,Auto - Call - V-Lab Automation Implementation [Part 3]
7172,Roadrunners,267613,Auto - MultiHAL Web Page enhancements
7170,Roadrunners,267723,Auto - MultiHAL automation enhancements
7014,Roadrunners,275886,"Auto - Call - Improve MultiHAL scheduler, archive process, and failure/restart processing to be more user-configurable, self-consistent, and improve the documentation"
6468,Roadrunners,318983,Auto - V-Lab Call Automation Fixes and Updates
3272,Roadrunners,1000204,Release Regression - EAD 16 Regression Testing (PI14)
1262,Roadrunners,1013657,Release Regression - EAD 16 Regression Testing (PI15)
7566,SIC,220871,Splunk Phase 2 Infrastructure - No Hardware Dependency: Unresolved IA Findings
7493,SIC,232366,Research Better Map Visualization Capability
7477,SIC,233847,Add alarm summary text for ETISP & ERS whitelist alarms which currently have no summary
7344,SIC,248249,Speed up PM/CDR/FM data receipt (Research)
7276,SIC,262625,Prevent Operators from Updating GD Defined Splunk Dashboards
7263,SIC,262745,IETM alarm recovery procedures for NMS alarms (Part 1) [No Procedure]
7262,SIC,262755,IETM alarm recovery procedures for NMS alarms (Part 1 of 3) [Non-O-Level]
7261,SIC,262766,IETM alarm recovery procedures for NMS alarms (Part 2 of 3) [Non-O-Level]
7258,SIC,262895,Add alarm event IDs and Auto Alarm Clear Logic to NetCool rules file for RNC and RBS
7257,SIC,263026,"Analyze/Propose ""Best Practices"" Updates from Splunk Training"
7256,SIC,263027,"Implement ""Best Practices"" Updates from Splunk Training"
7246,SIC,263144,Deduplicate FM data in Splunk index
7236,SIC,263247,Create Splunk Dashboard(s) and Indicators to Monitor PM Data Delivery to Gather Baseline Metrics
7226,SIC,263263,Create Splunk Dashboard(s) and Indicators to Monitor CDR Data Delivery to Gather Baseline Metrics
7197,SIC,264575,IETM alarm recovery procedures for NMS alarms (Part 3 of 3) [Non-O-Level]
7168,SIC,267777,Add Auto Alarm Clear Logic and Event IDs to Netcool rules file for TFDU
7117,SIC,272133,Add/update IETM alarm recovery procedures for CORE/GIS alarms [No Procedure]
7109,SIC,272399,Implement PPA UI Cleanup due to absent CDRs/PM/FM data
7098,SIC,272411,Retire Hyperion from MUOS - PM
7086,SIC,273679,Splunk Infra Fault Management
7070,SIC,273932,Splunk Infra: Domain Account Support & Password Enforcement
7059,SIC,274035,Splunk Infra: Secure SSH
7048,SIC,274067,Splunk Infra: SIEM Standard Collectors
7037,SIC,274096,Better Splunk user account 2-factor authentication solution
6987,SIC,279163,PM Primary & Secondary Server Failover Due to Heap Space Error
6959,SIC,279953,Define Routine PPA Database Admin Tasks
6942,SIC,283333,Define needs for generating unique event IDs for whitelisted alarms
6916,SIC,290418,ETISP implement eRxIM enhancement to prevent narrowband interference mitigation
6817,SIC,293238,Implement generation of unique event IDs for whitelisted alarms
6780,SIC,294061,Implement alarm severity assignments based on service impact
6761,SIC,294363,(INC000002393226) Netcool update to autoclear UPS alarms per clear signals listed in IETM
6727,SIC,299984,Provide CSCF/HSS Alarms Directly to NetCool
6663,SIC,307114,Server reboot instructions need to be added to IETM
6560,SIC,315485,Fix User Service Profile Rekey Issues
6142,SIC,327823,Allow Deletion of a Group Key Set from a Terminal Profile (Business Feature)
6127,SIC,328562,Implement OTA-FT service status
5619,SIC,343253,Misc RAID array enhancements
5130,SIC,352931,TD19-10: Prepare Docs for SPLUNK HA FRCB in support of EAD 17
5098,SIC,354174,"TD19-10: SPLUNK HA Update IETMs, Task Analysis, etc"
5074,SIC,354680,TD19-10: Implement SPLUNK HA for Site
4867,SIC,360622,Update other File Transferring equipment to use new Tectia Solution
4813,SIC,363379,Include additional frequency profile data in Splunk index
4798,SIC,363450,Perform Automatic Aging of Aggregate Plan Data Used by PlanProvApp
4734,SIC,364221,MPC for Problem 359932 found in EAD 11 Deliveries
4599,SIC,370923,Provide ADNS HAIPE Routability within IP Teleport Splunk Dashboard
4502,SIC,375515,Define Splunk Version Update Path Forward
4428,SIC,379761,FM Whitelist updates for PI 14: Update whitelist and filter logic
4378,SIC,381053,Update Splunk to Version TBD
4361,SIC,381524,Reduce Provisioning Bridge Database Contention
4258,SIC,383337,Investigate Distributed File System Replication (DFSR) on TPM Servers
4224,SIC,383958,Bulk Planning SAR Input Enhancement
4206,SIC,384084,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs
4135,SIC,384943,Expand Instrumentation Status in SA Dashboards
4118,SIC,385208,Implement Routine PPA Database Admin Tasks
4078,SIC,385632,FM Whitelist updates for PI 15: Update whitelist and filter logic
3705,SIC,392743,High Dev Risk -  ATO Generic Unix STIG SVD Findings - (Solaris)
3390,SIC,396712,Add/update IETM alarm recovery procedures for CORE/GIS alarms [Non-O-Level]
3389,SIC,396714,IETM alarm recovery procedures for NMS alarms [O-Level - Needs Updates]
3197,SIC,1000471,Implement Profile Portability
3081,SIC,1001248,OTAP issues due to intermittent locks on caller records
3072,SIC,1001263,Address KMS Issues (pre-KMS Obsolescence)
2515,SIC,1006843,Define MUOS Guard Updates/Process for File Based Data
2453,SIC,1007167,Preliminary Design of NMS Guard Updates for File Based Data
2405,SIC,1007394,Splunk Domain Update
2100,SIC,1008506,Troubleshooting & Recovery Procedures for Splunk HA Nutanix
1513,SIC,1013016,Implement Bulk Edit of User Service Profiles
1497,SIC,1013063,Periodically notify MFTs to perform OTA-FT
1461,SIC,1013234,OBS - PPA Prototyping
1365,SIC,1013541,KMS State Machine related issues
1045,SIC,1014252,Notify MFTs to perform OTA-FT following bootstrap OTA-FT (trouble ticket  INC000004670352)
555,SIC,1016383,FM Whitelist updates for PI 16: Update whitelist and filter logic
16,SIC,1018690,Provide O-Level Support of CSCF/HSS Alarms
7647,System Engineering,213598,Fix Issues with Multiple Group SARs (MOT&E Finding E-03)
7643,System Engineering,216376,Intersite Link Traffic History
7642,System Engineering,216380,Context Specific Help (Bridge Gap from SA to IETM)
7641,System Engineering,216388,Add Ruthless Preemption to the WCDMA Congestion Screens
7640,System Engineering,216437,Compare Congestion Indicators and AARM Thresholds Over Time
7639,System Engineering,216473,Change Key Mgmt A4/A7 Provisioning to be Manual Instead of Automatic
7635,System Engineering,216556,AddMe GSL Improvements
7634,System Engineering,216566,Improve RCG IA Posture for Non GD Controlled SW
7633,System Engineering,216584,MUOS Does not detect CT-CT outages or failures in the DISA network connecting MUOS Ground Sites
7630,System Engineering,216602,Static IP:  Remove Original IP Addresses
7624,System Engineering,216651,Provide automated testing of the Group provisioning so that I can identify and isolate infrequent errors to improve reliability.
7597,System Engineering,217606,Upgrade to Better Map Visualization Capability
7586,System Engineering,219386,"DoD PKI Certificate Update Procedures are Error Prone, Inefficient, and Labor Intensive"
7572,System Engineering,220531,Radio failure metrics (Call Banks)
7567,System Engineering,220668,(Enabler) FACH with AM & UM traffic: performance & robustness testing
7561,System Engineering,221218,Analyze use of ETISP configuration utility during site alignment (Enabler)
7557,System Engineering,221695,Enhance SA for GDS Registration Failures (Enabler)
7530,System Engineering,226024,Investigate rebuilding U2B BLER test system (Enabler)
7526,System Engineering,227601,Obtain Government approval to operate MUOS Transec Controller (MTC) and classified Anti-Jam modem in GD's Scottsdale lab (moved from LM SIL)
7507,System Engineering,232209,Transition the ipworks server dns and dhcp functions to a supportable device to reduce foot print and increase efficiency
7495,System Engineering,232353,NMS: Update INIT Message response to prevent RNC Out of Sync conditions after Install - Long Term Fix
7494,System Engineering,232354,Provide repository for site support personnel identifying service interruptions or outages per CI
7492,System Engineering,232525,Improve group data/multicast suitability: application performance testing of WF buffering improvements
7490,System Engineering,233083,Create Plan for Developing the Next Generation Analysis Engine
7482,System Engineering,233338,"Enhance the ""alarm tracker"" tool to automate daily snapshots against current whitelist"
